datetime,site,geometry,SNOWDEPTH,SNOWDEPTH_units,datasource,SNOWDEPTH (m)
2019-10-01 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-02 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-03 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-04 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-05 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-06 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-07 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-08 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-09 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-10 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-11 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-12 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-13 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-14 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-15 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-16 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-17 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-18 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-19 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),0.0,in,NRCS,0.0
2019-10-20 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),6.0,in,NRCS,0.15239999999999998
2019-10-21 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),6.0,in,NRCS,0.15239999999999998
2019-10-22 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),5.0,in,NRCS,0.127
2019-10-23 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),3.0,in,NRCS,0.07619999999999999
2019-10-24 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-10-25 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-10-26 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-10-27 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-10-28 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-10-29 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-10-30 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-10-31 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-11-01 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),3.0,in,NRCS,0.07619999999999999
2019-11-02 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),3.0,in,NRCS,0.07619999999999999
2019-11-03 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),3.0,in,NRCS,0.07619999999999999
2019-11-04 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-11-05 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-11-06 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-11-07 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
2019-11-08 08:00:00+00:00,637:ID:SNTL,POINT Z (-115.66588 43.932 6090),2.0,in,NRCS,0.0508
